X1,X2,X3,LABEL,TYPE,CLUSTER
43.042891934614374,26.46677187113965,29.069767058252303,MIN,SAFE,1
109.44999080392375,64.80760295554957,90.03801514063176,MIN,SAFE,1
174.0587953840125,103.48022717441405,97.0322555623389,MIN,SAFE,1
112.87645431285844,14.799571846796788,76.2338512286302,MIN,SAFE,1
271.81444104225375,111.31111677521415,127.49056216110851,MIN,SAFE,1
217.71186041497782,98.677937853321,131.14912347775345,MIN,SAFE,1
161.7542771419791,61.480834773359234,48.69718640185262,MIN,SAFE,1
21.188005240880614,1.2596884967849888,11.103457123247921,MIN,SAFE,1
90.19673247881877,30.280262301065534,76.32789812427968,MIN,SAFE,1
259.5842348045247,116.62182673494631,117.4146285622214,MIN,SAFE,1
-61.572504014980765,-8.334040727552008,177.72214783978342,MIN,SAFE,1
-50.42439428042505,7.665959272447992,186.02668098561742,MIN,SAFE,1
-23.297143982797785,14.065959272447989,45.00749195800341,MIN,SAFE,1
-69.5614298492205,-1.9340407275520053,129.86422555048836,MIN,SAFE,1
-88.76094546496839,20.465959272448004,198.54260824577716,MIN,SAFE,1
-34.04282389814429,-27.534040727552,116.4326923810695,MIN,SAFE,1
-84.30221712898292,4.465959272448011,299.88024820492603,MIN,SAFE,1
-94.98541699737703,-21.134040727551987,246.46461049757426,MIN,SAFE,1
-219.17557931505144,-41.91378149107417,10.123131443609603,MIN,SAFE,1
-314.17557931505144,20.308440731148018,26.1231314436096,MIN,SAFE,1
-266.67557931505144,-6.35822593551864,35.7231314436096,MIN,SAFE,1
-171.67557931505144,23.271403694110994,3.7231314436096064,MIN,SAFE,1
-52.925579315051436,-3.3952629725556527,19.723131443609606,MIN,SAFE,1
-337.92557931505144,-21.17304075033345,-3.5728685563903966,MIN,SAFE,1
-290.42557931505144,-38.95081852811121,12.427131443609607,MIN,SAFE,1
-195.42557931505144,-12.284151861444537,-9.972868556390402,MIN,SAFE,1
-88.86317122134342,-168.99575014505118,-124.15779561914748,MIN,SAFE,1
-82.85790844665229,-135.61429098436932,-45.521502462526605,MIN,SAFE,1
-86.85301581106818,-212.1167550463204,-108.44751632569597,MIN,SAFE,1
-51.27192981303956,-103.02971515047695,-21.987893427822048,MIN,SAFE,1
-76.10733589572169,-145.77231958098344,-73.78146465751632,MIN,SAFE,1
-107.69331452933437,-191.93334561365754,-83.73862349343918,MIN,SAFE,1
-27.61368586130621,-117.07233063108059,-54.1324425068013,MIN,SAFE,1
-45.899089855366306,-85.92296348636683,11.41059847482613,MIN,SAFE,1
205.19556844883647,-101.94546811073194,5.4148129587200025,MIN,SAFE,1
112.66468058875053,-67.67965565961225,53.414812958720006,MIN,SAFE,1
261.15315172183523,-186.5501157674039,21.414812958720006,MIN,SAFE,1
238.39911788349116,-137.05652976684615,29.734812958720013,MIN,SAFE,1
140.64347222524992,-109.98197948794824,-2.265187041280001,MIN,SAFE,1
17.01513190077958,12.801080157827244,13.734812958720003,MIN,SAFE,1
102.57967602999179,-31.053081856254778,39.33481295872001,MIN,SAFE,1
240.61863156676586,-164.30606630848993,7.334812958720001,MIN,SAFE,1
108.52489313110709,-91.32797304550054,57.60694477619203,MAJ,SAFE,6
-106.47510686889291,-186.8835286010561,-355.193055223808,MAJ,SAFE,6
323.5248931311071,386.4498047322771,160.806944776192,MAJ,SAFE,6
-375.2251068688929,99.78313806561046,-183.193055223808,MAJ,SAFE,6
54.77489313110709,-282.4390841566117,332.806944776192,MAJ,SAFE,6
-160.2251068688929,290.8942491767215,-11.193055223807985,MAJ,SAFE,6
269.7748931311071,4.227582510054866,-403.353055223808,MAJ,SAFE,6
