X1,X2,LABEL,TYPE,CLUSTER
-11.56777860596776,-72.38272656824358,MIN,BORDER,1
-92.81777860596776,-5.716059901576919,MIN,BORDER,1
7.18222139403224,-79.790133975651,MIN,BORDER,1
-42.81777860596776,53.543199357682305,MIN,BORDER,1
57.18222139403224,-13.123467308984328,MIN,BORDER,1
-67.81777860596776,-35.345689531206546,MIN,BORDER,1
-30.31777860596776,-87.1975413830584,MIN,BORDER,1
69.68222139403224,46.13579195027491,MIN,BORDER,1
-55.31777860596776,-20.530874716391732,MIN,BORDER,1
44.68222139403224,-42.75309693861396,MIN,BORDER,1
-5.31777860596776,90.58023639471932,MIN,BORDER,1
94.68222139403224,23.913569728052675,MIN,BORDER,1
4.05722139403224,68.35801417249709,MIN,BORDER,1
-70.94277860596776,36.25924874039834,MIN,BORDER,1
-20.94277860596776,-52.629640148490495,MIN,BORDER,1
-83.44277860596776,14.037026518176155,MIN,BORDER,1
16.55722139403224,-74.85186237071272,MIN,BORDER,1
-33.44277860596776,58.48147096262058,MIN,BORDER,1
66.55722139403224,-8.185195704046055,MIN,BORDER,1
41.55722139403224,51.07406355521318,MIN,BORDER,1
91.55722139403224,-37.814825333675685,MIN,BORDER,1
-39.69277860596776,-60.03704755589791,MIN,BORDER,1
60.30722139403224,73.29628577743537,MIN,BORDER,1
-64.69277860596776,6.629619110768714,MIN,BORDER,1
35.30722139403224,-89.66667718552755,MIN,BORDER,1
85.30722139403224,-23.00001051886087,MIN,BORDER,1
-77.19277860596776,-45.22223274108309,MIN,BORDER,1
22.80722139403224,88.1111005922502,MIN,BORDER,1
72.80722139403224,-67.4444549633053,MIN,BORDER,1
-52.19277860596776,65.88887837002797,MIN,BORDER,1
-2.19277860596776,-97.89712986042466,MIN,BORDER,1
2.49472139403224,-53.452685415980206,MIN,BORDER,1
-47.50527860596776,79.88064791735307,MIN,BORDER,1
52.49472139403224,13.213981250686423,MIN,BORDER,1
27.49472139403224,57.658425695130845,MIN,BORDER,1
-85.00527860596776,50.25101828772345,MIN,BORDER,1
-35.00527860596776,-38.63787060116539,MIN,BORDER,1
-60.00527860596776,28.02879606550124,MIN,BORDER,1
39.99472139403224,-60.860092823387625,MIN,BORDER,1
-10.00527860596776,72.47324050994565,MIN,BORDER,1
89.99472139403224,5.806573843279006,MIN,BORDER,1
58.74472139403224,-46.0452780085728,MIN,BORDER,1
-16.25527860596776,-68.26750023079502,MIN,BORDER,1
-78.75527860596776,-1.6008335641283566,MIN,BORDER,1
21.24472139403224,-92.95885825548639,MIN,BORDER,1
71.24472139403224,-26.292191588819712,MIN,BORDER,1
-53.75527860596776,-48.51441381104193,MIN,BORDER,1
46.24472139403224,84.81891952229135,MIN,BORDER,1
-44.38027860596776,-78.14404344067157,MIN,BORDER,1
55.61972139403224,55.18928989266172,MIN,BORDER,1
-69.38027860596776,-11.477376774004899,MIN,BORDER,1
80.61972139403224,32.96706767043951,MIN,BORDER,1
-81.88027860596776,-55.92182121844935,MIN,BORDER,1
18.11972139403224,77.41151211488393,MIN,BORDER,1
-56.88027860596776,47.78188248525432,MIN,BORDER,1
-88.13027860596776,25.559660263032093,MIN,BORDER,1
11.86972139403224,-63.32922862585675,MIN,BORDER,1
-38.13027860596776,70.00410470747651,MIN,BORDER,1
61.86972139403224,3.3374380408098814,MIN,BORDER,1
36.86972139403224,37.905339275377756,MIN,BORDER,1
-25.63027860596776,-73.20577183573329,MIN,BORDER,1
74.36972139403224,60.12756149759999,MIN,BORDER,1
-50.63027860596776,-6.539105169066628,MIN,BORDER,1
49.36972139403224,-80.6131792431407,MIN,BORDER,1
-0.6302786059677601,52.720154090192594,MIN,BORDER,1
0.5415963940322399,97.16459853463701,MIN,BORDER,1
-49.45840360596776,30.49793186797036,MIN,BORDER,1
50.54159639403224,-58.39095702091848,MIN,BORDER,1
-24.45840360596776,-88.02058665054811,MIN,BORDER,1
75.54159639403224,45.312746682785196,MIN,BORDER,1
-86.95840360596776,-21.353919983881443,MIN,BORDER,1
-36.95840360596776,89.75719112722962,MIN,BORDER,1
63.04159639403224,23.090524460562968,MIN,BORDER,1
-61.95840360596776,-65.7983644283259,MIN,BORDER,1
38.04159639403224,67.53496890500739,MIN,BORDER,1
