X1,X2,X3,X4,X5,LABEL,TYPE,CLUSTER
513.8232517242432,330.8528684449624,172.85009018879998,182.68948027372124,259.54809910581685,MIN,BORDER,1
333.82325172424316,327.88990548199945,223.18609018880005,133.30172517168043,159.54809910581685,MIN,BORDER,1
348.82325172424316,354.5565721486661,161.58609018879997,272.4853986410682,234.0935536512714,MIN,BORDER,1
448.82325172424316,292.3343499264439,187.98609018879998,254.52621496759878,268.6390081967259,MIN,BORDER,1
408.82325172424316,336.7787943708883,214.38609018880004,299.42417415127227,188.63900819672594,MIN,BORDER,1
438.82325172424316,390.1121277042216,152.7860901888,142.28131700841513,228.6390081967259,MIN,BORDER,1
398.82325172424316,404.92694251903646,140.4660901888,153.45999256026852,143.18446274218047,MIN,BORDER,1
400.69825172424316,440.482498074592,224.94609018880004,225.29672725414605,232.27537183308957,MIN,BORDER,1
350.69825172424316,320.64710712808994,119.3460901888,175.90897215210526,212.27537183308957,MIN,BORDER,1
325.69825172424316,406.57303305401587,256.62609018880005,200.28214999467085,195.91173546945322,MIN,BORDER,1
515.6982517242432,353.23969972068255,283.0260901888,213.75153774977287,215.9117354694532,MIN,BORDER,1
415.69825172424316,415.4619219429048,203.82609018880004,132.93521121916066,211.77950406449452,MIN,BORDER,1
503.19825172424316,282.12858860957147,182.70609018879998,177.83317040283413,146.32495860994908,MIN,BORDER,1
463.19825172424316,362.1285886095714,253.10609018880004,146.40459897426268,246.32495860994908,MIN,BORDER,1
483.19825172424316,430.27673675771956,191.5060901888,222.73112958650756,200.87041315540364,MIN,BORDER,1
313.19825172424316,394.721181202164,244.30609018880006,236.20051734160958,220.8704131554036,MIN,BORDER,1
453.19825172424316,412.4989589799418,222.48209018880004,251.5941033474405,135.41586770085817,MIN,BORDER,1
448.19825172424316,349.289082436732,169.68209018879998,247.10430742907317,289.96132224631276,MIN,BORDER,1
528.1982517242432,420.400193547843,213.68209018880003,197.71655232703236,169.9613222463127,MIN,BORDER,1
488.19825172424316,313.7335268811764,240.08209018880004,166.28798089846094,264.50677679176727,MIN,BORDER,1
478.19825172424316,331.51130465895415,183.7620901888,274.0430829392772,224.50677679176727,MIN,BORDER,1
301.94825172424316,355.2150083626579,218.96209018880006,143.83900130662423,193.59768588267636,MIN,BORDER,1
541.9482517242432,346.326119473769,157.36209018879998,186.17136282265918,233.59768588267636,MIN,BORDER,1
371.94825172424316,298.9187120663616,259.4420901888001,244.5387097614347,202.68859497358548,MIN,BORDER,1
426.94825172424316,423.363156510806,285.84209018880006,226.5795260879653,222.68859497358545,MIN,BORDER,1
346.94825172424316,343.363156510806,197.84209018879997,114.33462812878165,162.68859497358542,MIN,BORDER,1
466.94825172424316,396.6964898441393,141.5220901888,177.1917709859245,197.23404951903998,MIN,BORDER,1
366.94825172424316,414.47426762191714,167.92209018879996,190.66115874102653,117.23404951904,MIN,BORDER,1
326.94825172424316,307.80760095525045,211.92209018880004,159.2325873124551,217.23404951903998,MIN,BORDER,1
516.9482517242432,401.6347614490776,264.72209018880005,172.70197506755713,231.2836362958995,MIN,BORDER,1
504.44825172424316,366.07920589352204,164.40209018879997,138.70780597134726,165.82909084135403,MIN,BORDER,1
384.44825172424316,330.5236503379665,102.8020901888,215.0343365835921,200.3745453868086,MIN,BORDER,1
364.44825172424316,277.1903170046332,190.80209018879998,152.17719372644927,180.37454538680856,MIN,BORDER,1
354.44825172424316,380.8940207083369,155.6020901888,228.50372433869416,134.91999993226312,MIN,BORDER,1
314.44825172424316,434.2273540416702,199.6020901888,210.54454066522476,234.91999993226312,MIN,BORDER,1
454.44825172424316,318.67179848611465,179.53809018879997,241.9731120937962,154.91999993226312,MIN,BORDER,1
