X1,X2,LABEL,TYPE,CLUSTER
613.4120857907866,993.8625040577695,MIN,SAFE,1
561.8522163292673,470.8981138052187,MIN,SAFE,1
1052.8985921532585,333.4051285745012,MIN,SAFE,1
493.1057237139087,716.4213017172144,MIN,SAFE,1
905.5846794060614,657.4957366183353,MIN,SAFE,1
1025.0726308565659,96.06604692623864,MIN,SAFE,1
730.444805362171,744.2472630139073,MIN,SAFE,1
877.7587181093685,420.1566549700729,MIN,SAFE,1
1133.102833537844,518.3659301348712,MIN,SAFE,1
310.216524051546,638.2886622306366,MIN,SAFE,1
722.6954797436987,579.3630971317577,MIN,SAFE,1
948.5768126227347,176.70506895608474,MIN,SAFE,1
653.9489871283399,824.8862850437532,MIN,SAFE,1
668.6803784030596,368.2131555274413,MIN,SAFE,1
1197.8788347848986,192.5680897388762,MIN,SAFE,1
638.0859663455484,575.5842628815896,MIN,SAFE,1
1050.5649220377013,516.6586977827104,MIN,SAFE,1
841.8702123125048,150.82914779383702,MIN,SAFE,1
547.24238681811,799.0103638815056,MIN,SAFE,1
694.5562995653073,474.9197558376714,MIN,SAFE,1
1185.6026753892988,337.42677060695365,MIN,SAFE,1
493.22728547747096,587.8604222771893,MIN,SAFE,1
905.7062411696238,528.9348571783103,MIN,SAFE,1
1079.2092939607674,178.65510909052983,MIN,SAFE,1
784.5814684663725,826.8363251781984,MIN,SAFE,1
699.875968636734,270.7263045575281,MIN,SAFE,1
955.2200840652094,368.93557972232645,MIN,SAFE,1
395.42721562585933,751.9517528650397,MIN,SAFE,1
807.906171318012,693.0261877661608,MIN,SAFE,1
901.2049827245703,157.78563811801018,MIN,SAFE,1
606.5771572301755,805.9668542056788,MIN,SAFE,1
753.8910699773729,481.87624616184456,MIN,SAFE,1
1271.1265858453105,318.1941208871807,MIN,SAFE,1
512.4599351972438,502.3365118211776,MIN,SAFE,1
924.9388908893967,443.41094672229843,MIN,SAFE,1
915.1179633729168,276.4551789421414,MIN,SAFE,1
620.4901378785221,924.63639502981,MIN,SAFE,1
635.2215291532417,467.96326551349813,MIN,SAFE,1
1126.267904977233,330.4702802827805,MIN,SAFE,1
566.475036537883,713.4864534254937,MIN,SAFE,1
978.9539922300357,654.5608883266148,MIN,SAFE,1
964.9728106961581,-5.419080957935819,MIN,SAFE,1
